"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.feedback.FeedbackServiceTest","","com.swp391.koibe.services.feedback.FeedbackServiceTest","deleteFeedback","deleteFeedback()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","sealed","sealed()",""
"passed","Sun Oct 27 02:12:12 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","602","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","updateAuctionParticipant","updateAuctionParticipant()",""
"passed","Sun Oct 27 02:12:30 GMT 2024","Sun Oct 27 02:12:30 GMT 2024","4","","com.swp391.koibe.services.user.member.MemberServiceTest","","com.swp391.koibe.services.user.member.MemberServiceTest","findById","findById()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","15","","com.swp391.koibe.services.otp.OtpServiceTest","","com.swp391.koibe.services.otp.OtpServiceTest","disableOtp","disableOtp()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.mail.MailServiceTest","","com.swp391.koibe.services.mail.MailServiceTest","sendMail","sendMail()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","update","update()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","7","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","getPaymentByOrderID","getPaymentByOrderID()",""
"passed","Sun Oct 27 02:12:38 GMT 2024","Sun Oct 27 02:12:38 GMT 2024","3","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionDTO","convertToAuctionDTO()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","login","login()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","deleteBidHistory","deleteBidHistory()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidHistoryById","getBidHistoryById()",""
"passed","Sun Oct 27 02:12:38 GMT 2024","Sun Oct 27 02:12:38 GMT 2024","10","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToKoiImageDTO","convertToKoiImageDTO()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","15","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testUpdateRole","testUpdateRole()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","createAscendingAuction","createAscendingAuction()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","4","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","end","end()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","getOrder","getOrder()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","7","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","verifyOtpIsCorrect","verifyOtpIsCorrect()",""
"passed","Sun Oct 27 02:12:30 GMT 2024","Sun Oct 27 02:12:30 GMT 2024","11","","com.swp391.koibe.services.user.member.MemberServiceTest","","com.swp391.koibe.services.user.member.MemberServiceTest","updateMember","updateMember()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionIdV2","getAuctionKoiByAuctionIdV2()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","5","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","getKoiImagesByKoiId","getKoiImagesByKoiId()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiById","getAuctionKoiById()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","createAuctionKoi","createAuctionKoi()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","2","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getKoiByKeyword","getKoiByKeyword()",""
"passed","Sun Oct 27 02:12:26 GMT 2024","Sun Oct 27 02:12:26 GMT 2024","25","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","getAllCategories","getAllCategories()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","testCreateOrder","testCreateOrder()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","6","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","deleteKoi","deleteKoi()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","4","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","updateBidHistory","updateBidHistory()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","hasBid","hasBid()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","4","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","placeBid","placeBid()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","findAuctionById","findAuctionById()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","searchUserOrders","searchUserOrders()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","3","","com.swp391.koibe.services.user.staff.StaffServiceTest","","com.swp391.koibe.services.user.staff.StaffServiceTest","delete","delete()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","6","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","getPaymentsByUserIdAndStatus","getPaymentsByUserIdAndStatus()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.feedback.FeedbackServiceTest","","com.swp391.koibe.services.feedback.FeedbackServiceTest","updateFeedback","updateFeedback()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","4","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateDescendAuctionKoiPrice","updateDescendAuctionKoiPrice()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","2","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateAuctionKoi","updateAuctionKoi()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","5","","com.swp391.koibe.services.user.breeder.BreederServiceTest","","com.swp391.koibe.services.user.breeder.BreederServiceTest","findById","findById()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","6","","com.swp391.koibe.services.feedback.FeedbackServiceTest","","com.swp391.koibe.services.feedback.FeedbackServiceTest","getFeedbackById","getFeedbackById()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","4","","com.swp391.koibe.services.otp.OtpServiceTest","","com.swp391.koibe.services.otp.OtpServiceTest","getOtpByEmailOtp","getOtpByEmailOtp()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.token.TokenServiceTest","","com.swp391.koibe.services.token.TokenServiceTest","addToken","addToken()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","5","","com.swp391.koibe.services.order.OrderMailServiceTest","","com.swp391.koibe.services.order.OrderMailServiceTest","sendOrderCreatedEmailToUser","sendOrderCreatedEmailToUser()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","5","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","createOrder","createOrder()",""
"passed","Sun Oct 27 02:12:38 GMT 2024","Sun Oct 27 02:12:38 GMT 2024","3","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToUserDTO","convertToUserDTO()",""
"passed","Sun Oct 27 02:12:38 GMT 2024","Sun Oct 27 02:12:38 GMT 2024","3","","com.swp391.koibe.utils.DTOConverterTest","","com.swp391.koibe.utils.DTOConverterTest","convertToKoiDTO","convertToKoiDTO()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","deleteOrder","deleteOrder()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","7","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","updateOrderDetail","updateOrderDetail()",""
